block_id,cls,n_cells,n_covered,n_polys,covered_frac,area_ground_m2,fire_zone_frac
215,sparse,3,0,0,0.0,1670.3838580875267,0.0
216,partial,39,19,23,0.48717948717948717,8152.193626069526,0.0
217,sparse,2,0,1,0.0,396.2551435112284,0.0
218,off_plate,0,0,0,,3527.205868933667,
219,partial,15,7,11,0.4666666666666667,2374.7117538745456,0.7451788684716811
220,no_drawn_cells,0,0,0,,1390.5740021270647,0.0
221,off_plate,0,0,11,,11282.731361266264,0.0
222,off_plate,0,0,0,,274.0639049941943,0.0
223,exhaustive,12,12,8,1.0,3910.8737886094154,0.0
224,no_drawn_cells,0,0,2,,1392.9621629974197,0.0
225,partial,39,33,24,0.8461538461538461,7281.269064454286,0.0
226,sparse,7,0,0,0.0,1891.3156727405153,0.0
227,sparse,3,0,1,0.0,5169.057489254321,0.0
228,sparse,6,0,5,0.0,1170.8991142479472,0.0
229,partial,9,7,12,0.7777777777777778,1563.5630384052583,0.0
230,sparse,2,0,0,0.0,4912.177568868621,0.0
231,no_drawn_cells,0,0,1,,1707.5070009730996,0.0
232,no_drawn_cells,0,0,0,,818.4927590480481,0.0
233,partial,12,7,14,0.5833333333333334,7811.458733769858,0.0
234,sparse,1,0,0,0.0,418.969605924755,0.0
235,sparse,1,0,0,0.0,1986.6805026837876,0.0
236,sparse,9,2,5,0.2222222222222222,1832.276026562116,0.0
237,partial,14,9,12,0.6428571428571429,2560.377794472067,0.0
238,partial,12,10,19,0.8333333333333334,8748.587424174562,0.0
239,sparse,1,0,5,0.0,1450.3857604665563,0.0
240,sparse,11,0,0,0.0,1332.0550827549832,0.5604575899448654
241,off_plate,1,0,0,0.0,511.6769335461286,0.0
242,partial,11,7,11,0.6363636363636364,9336.972803120363,0.0
243,sparse,1,0,2,0.0,1246.4224572608266,0.0
244,no_drawn_cells,0,0,0,,1213.8680538175668,0.0
245,sparse,2,0,3,0.0,1174.2748604406293,0.0
246,sparse,1,0,2,0.0,2088.778868915655,0.0
247,no_drawn_cells,0,0,0,,2614.748855490374,0.0
248,no_drawn_cells,0,0,0,,1421.9073909899928,0.0
249,sparse,4,0,0,0.0,1277.2351193174366,0.0
250,no_drawn_cells,0,0,1,,3487.6306316534988,0.0
251,no_drawn_cells,0,0,0,,530.1537571220329,0.0
252,exhaustive,49,46,29,0.9387755102040817,10830.076117801766,0.0
253,no_drawn_cells,0,0,1,,2642.526937192924,0.0
254,partial,5,3,8,0.6,1644.9041567714837,0.0
255,off_plate,0,0,3,,5235.171837559938,0.0
256,no_drawn_cells,0,0,0,,3920.0134418651346,0.03237717504354589
257,no_drawn_cells,0,0,1,,2968.1427960126002,0.0
258,sparse,4,0,0,0.0,655.9614482188157,0.0
259,partial,21,17,17,0.8095238095238095,5351.32982756239,0.0
260,sparse,2,0,3,0.0,4298.079059348773,0.0
