id,on_plate,best_cell_iou,union_cell_iou,cells_spanned,blank_plate,best_cell,in_fire_zone,area_ground_m2,cell_class
4322,True,0.14945487970094684,0.14945487970094684,1.0,False,1880.0,False,118.92101995997855,loose_placement
4323,True,0.45442427944316816,0.48713980364770343,2.0,False,3065.0,False,179.82857934800447,loose_placement
4324,True,0.16250423242286974,0.18275392565203416,2.0,False,5103.0,False,145.24397555909383,loose_placement
4326,True,0.07601766220709952,0.0,0.0,False,3333.0,False,76.51325874263289,loose_placement
4327,True,0.1348523360289524,0.0,0.0,False,3410.0,True,60.96457409995647,loose_placement
4328,True,0.11772344820957654,0.0,0.0,False,2235.0,False,109.81914681298582,loose_placement
4329,False,,,,,,,,off_plate
4331,True,0.25837030518660914,0.24478121485972906,2.0,False,5701.0,True,56.68388105021005,loose_placement
4332,True,0.20305194282229388,0.20305194282229388,1.0,False,7631.0,False,71.83699252623764,loose_placement
4356,False,,,,,,,,off_plate
4357,True,0.11775614189960233,0.0,0.0,False,6750.0,True,111.81041641038718,loose_placement
4358,False,,,,,,,,off_plate
4359,False,,,,,,,,off_plate
4360,True,0.0835306481578351,0.0,0.0,False,2597.0,False,59.442487852041076,loose_placement
4361,True,0.21018318292613003,0.21018318292613003,1.0,False,4264.0,False,57.230580259963354,loose_placement
4363,True,0.40861143977313324,0.40861143977313324,1.0,False,821.0,True,183.1738427590964,loose_placement
4365,True,0.2686024252585096,0.2686024252585096,1.0,False,5675.0,False,110.93891859210812,loose_placement
4369,True,0.10963106738137726,0.0,0.0,False,3781.0,False,108.93830768921826,loose_placement
4371,True,0.06832013367636694,0.0,0.0,False,1165.0,False,115.6397770644098,loose_placement
4373,True,0.26722056974167535,0.3072221908500147,4.0,False,3651.0,False,412.56877132568957,loose_placement
4374,True,0.13101893711952486,0.13101893711952486,1.0,False,6915.0,False,118.89285218253497,loose_placement
4375,True,0.5898456270489516,0.5898456270489516,1.0,False,5484.0,False,150.76706311214804,traced_single_cell
4377,True,0.0,0.0,0.0,True,,False,114.26029007849478,blank_plate
4379,True,0.08343659296228043,0.0,0.0,False,1880.0,False,164.34078111157837,loose_placement
4380,True,0.3715552618223805,0.3715552618223805,1.0,False,3090.0,False,109.04917613582951,loose_placement
4381,True,0.16361462384927586,0.16361462384927586,1.0,False,5103.0,False,65.51773509878231,loose_placement
4383,True,0.40181249977242744,0.40181249977242744,1.0,False,3501.0,False,81.4794695253644,loose_placement
4384,True,0.15468097475642492,0.0,0.0,False,3474.0,True,50.996514774478264,loose_placement
4385,True,0.29979050357582443,0.29979050357582443,1.0,False,2299.0,False,170.29845935676053,loose_placement
4386,False,,,,,,,,off_plate
4388,True,0.33526051583716804,0.33526051583716804,1.0,False,5644.0,True,62.838570269231965,loose_placement
4389,True,0.1947814350952575,0.1947814350952575,1.0,False,7651.0,False,95.11484852163571,loose_placement
4413,False,,,,,,,,off_plate
4414,True,0.1312254446100144,0.1312254446100144,1.0,False,6686.0,True,117.3516891657967,loose_placement
4415,False,,,,,,,,off_plate
4416,False,,,,,,,,off_plate
4417,True,0.23925376503524964,0.23925376503524964,1.0,False,2597.0,False,55.18976619862922,loose_placement
4418,True,0.27837929726077576,0.27837929726077576,1.0,False,4180.0,False,125.0889321793814,loose_placement
4420,True,0.4019759021033007,0.4357542991629332,3.0,False,852.0,True,164.03226340971244,loose_placement
4422,True,0.3738501388734305,0.3738501388734305,1.0,False,5611.0,False,128.23041716573158,loose_placement
4426,True,0.04322771327803209,0.0,0.0,False,3781.0,False,435.93162491117465,loose_placement
4428,True,0.21079246290949585,0.29856491214334924,3.0,False,1126.0,False,397.6658629192655,loose_placement
4430,True,0.09436268059712898,0.0,0.0,False,3611.0,False,106.0458207120241,loose_placement
4432,True,0.5047794435775096,0.5047794435775096,1.0,False,5435.0,False,108.29530679169338,traced_single_cell
4435,True,0.0,0.0,0.0,False,,False,88.46126318138647,loose_placement
4436,True,0.07831112874257444,0.0,0.0,False,1953.0,False,103.3000194294747,loose_placement
4437,True,0.5394601606572141,0.5394601606572141,1.0,False,3107.0,False,106.02085074613152,traced_single_cell
4438,True,0.5260607494175805,0.5260607494175805,1.0,False,5624.0,False,73.03894366898952,traced_single_cell
4440,True,0.16185481139110133,0.16185481139110133,1.0,False,3501.0,False,74.93150045595453,loose_placement
4441,True,0.1882591620226161,0.5058287640467146,7.0,False,3445.0,True,343.04767195254624,traced_merged_cells
4445,True,0.3603919303019532,0.28571559673953595,2.0,False,5650.0,True,50.67834722205739,loose_placement
4446,True,0.19249004605806236,0.19249004605806236,1.0,False,7651.0,False,62.14218205072239,loose_placement
4470,False,,,,,,,,off_plate
4472,False,,,,,,,,off_plate
4473,False,,,,,,,,off_plate
4474,True,0.261137014794574,0.261137014794574,1.0,False,2597.0,False,61.68547391906872,loose_placement
4475,True,0.20275340006726236,0.2366756204069838,2.0,False,4117.0,False,105.33345025978046,loose_placement
4477,True,0.49083564450623246,0.49083564450623246,1.0,False,877.0,True,116.88559333044954,loose_placement
4479,True,0.47008545971340576,0.47008545971340576,1.0,False,5562.0,False,169.83474768191763,loose_placement
4482,True,0.048114599201211236,0.0,0.0,False,2762.0,False,215.96821691373174,loose_placement
4483,True,0.0,0.0,0.0,False,,False,120.81465239073333,loose_placement
4485,True,0.1400392115451549,0.0,0.0,False,1114.0,False,100.12776312617531,loose_placement
4486,True,0.22790772111661586,0.4915869603409275,3.0,False,5822.0,False,415.5945138962466,loose_placement
