id,on_plate,near3px,near6px,gain,median_offset_px,median_offset_m,p90_offset_px,osm_iou,osm_idx,area_m2_ground,qa_class
6367,True,0.578125,0.763671875,0.05810546875,2.0,0.4385888793113147,8.062257766723633,0.014373185740865324,1894.0,179.9349443004166,weak_ink_support
6368,True,0.21739130434782608,0.30193236714975846,-0.040458937198067674,13.928388595581055,3.054418172374196,39.59798049926758,0.03545624184515398,2046.0,114.52613894989499,weak_ink_support
6369,True,0.6545454545454545,0.7494949494949495,0.09292929292929297,1.0,0.21929443965565734,20.0,0.04223357620946054,2200.0,126.2627133870319,weak_ink_support
6372,True,0.3899895724713243,0.662148070907195,-0.15015641293013554,5.0,1.0964721982782868,11.401754379272461,0.1388898282134815,3494.0,531.7020848127629,weak_ink_support
6374,True,0.5073684210526316,0.6905263157894737,-0.01210526315789473,2.8284270763397217,0.6202583308128085,20.731402969360357,7.356800843598838e-06,2017.0,143.18166910258952,weak_ink_support
6375,True,0.26865671641791045,0.4291044776119403,-0.08208955223880599,7.6157732009887695,1.6700967166554044,43.13930892944336,0.06916855653421641,2430.0,204.38174057555895,weak_ink_support
6378,True,0.22549019607843138,0.37254901960784315,-0.013888888888888867,15.264337539672852,3.3473843474773735,33.0075740814209,0.0,,56.39338061300012,weak_ink_support
6381,False,,,,,,,,,,off_plate
6383,False,,,,,,,,,,off_plate
6385,True,0.682648401826484,0.865296803652968,0.0582191780821919,0.0,0.0,7.8102498054504395,0.03172366696346966,2059.0,106.7162528550882,weak_ink_support
6387,True,0.2678787878787879,0.4509090909090909,-0.14454545454545453,6.7082037925720215,1.471071791788037,16.552946090698242,0.35934112981212946,1926.0,492.48553127508484,weak_ink_support
6388,True,0.6086956521739131,0.7558528428093646,-0.06856187290969895,1.0,0.21929443965565734,9.486832618713379,0.004330057354144195,2160.0,61.37301630836023,weak_ink_support
6389,True,0.0,0.03490759753593429,-0.061601642710472276,29.546573638916016,6.479399309890704,40.511650848388676,0.0837427503100987,2285.0,137.82107224173714,weak_ink_support
6393,True,0.517162471395881,0.5789473684210527,0.10240274599542332,2.0,0.4385888793113147,17.0,0.03342857658122328,2434.0,110.6925422142472,aligned
6418,True,0.42810457516339867,0.5620915032679739,-0.06127450980392163,5.0,1.0964721982782868,10.440306663513184,0.048222104699208145,2093.0,61.69152814419551,weak_ink_support
6419,True,0.5436507936507936,0.6884920634920635,0.06051587301587291,2.8284270763397217,0.6202583308128085,24.041629791259766,0.0,,171.93757550002,weak_ink_support
6422,True,0.5454545454545454,0.6144200626959248,0.06739811912225702,2.2360680103302,0.49035728135730183,23.34523582458496,0.0,,65.40768086831864,weak_ink_support
6423,True,0.24289405684754523,0.39018087855297157,0.0032299741602067333,14.866068840026855,3.2600462361561173,42.8018684387207,0.0,,110.2857979797922,weak_ink_support
6424,True,0.671578947368421,0.8547368421052631,0.06315789473684208,0.0,0.0,7.280109882354736,0.010503731920939167,1952.0,142.86037224425306,weak_ink_support
6425,True,0.5205479452054794,0.7214611872146118,0.015410958904109595,2.8284270763397217,0.6202583308128085,8.117443752288821,0.008288519356232555,1894.0,106.05906472388226,weak_ink_support
6426,True,0.2556179775280899,0.32303370786516855,0.001404494382022503,14.34660530090332,3.1461307704224772,43.600460052490234,0.020672363954945382,2046.0,66.19972341732266,weak_ink_support
6427,True,0.6449814126394052,0.7323420074349443,0.08364312267657992,1.0,0.21929443965565734,20.51828384399414,0.12062115052568419,2195.0,176.2421253097867,weak_ink_support
6430,True,0.5368956743002544,0.6921119592875318,-0.029262086513994978,1.4142135381698608,0.31012916540640423,17.8885440826416,0.025745165158400415,3494.0,108.15811170903253,weak_ink_support
6432,True,0.47629310344827586,0.584051724137931,-0.05711206896551729,3.605551242828369,0.7906773394458062,17.386369323730467,0.005664356387776502,2017.0,132.33270073495626,weak_ink_support
6433,True,0.3547008547008547,0.4444444444444444,0.04059829059829062,8.9442720413208,1.9614291254292073,36.34291152954103,0.043950154230327304,2430.0,135.93398024545934,weak_ink_support
6435,True,0.5886363636363636,0.6534090909090909,0.02017045454545452,1.4142135381698608,0.31012916540640423,17.20465087890625,0.08797184338077056,3098.0,502.00569335874906,weak_ink_support
6436,True,0.3786610878661088,0.4246861924686193,0.06956066945606698,11.851749420166016,2.5990227480345687,35.0142822265625,0.13480460347698722,2376.0,170.8488063738686,weak_ink_support
6439,True,0.1790633608815427,0.24793388429752067,-0.008474999643157899,15.231546401977539,3.3401934333108088,30.789177703857426,0.0,,71.89027929351879,weak_ink_support
6441,False,,,,,,,,,,off_plate
6443,True,0.6714697406340058,0.8112391930835735,0.0889769452449567,2.2360680103302,0.49035728135730183,10.29563045501709,0.2472830362396705,2061.0,361.8473620485932,weak_ink_support
6444,False,,,,,,,,,,off_plate
6446,True,0.5586206896551724,0.7206896551724138,-0.15517241379310343,2.0,0.4385888793113147,9.848857879638672,0.0038529752168721624,2160.0,56.470427576552545,weak_ink_support
6447,True,0.053061224489795916,0.0836734693877551,-0.03520408163265307,24.79916000366211,5.4383178969340715,37.64305877685547,0.0861852981802975,2285.0,141.84093742679514,weak_ink_support
