id,on_plate,near3px,near6px,gain,median_offset_px,median_offset_m,p90_offset_px,osm_iou,osm_idx,area_m2_ground,qa_class
29,True,0.47674418604651164,0.49667774086378735,-0.005813953488372048,6.082762718200684,1.3339160418461422,25.41824760437011,0.38442800199757804,1998.0,264.5941750535126,weak_ink_support
30,True,0.9567642956764296,0.99860529986053,0.27684797768479785,0.0,0.0,2.0,0.0,,228.81006329080674,aligned
31,True,0.5141202027516293,0.667632150615496,0.0019913106444605644,2.8284270763397217,0.6202583308128085,11.704699516296387,0.0,,630.0992674886121,weak_ink_support
32,True,0.8291666666666667,0.8875,0.2635416666666667,0.0,0.0,6.7082037925720215,0.0,,135.74664262923872,aligned
33,True,0.462729912875121,0.5556631171345595,0.07696030977734758,4.123105525970459,0.9041741159588362,14.866068840026855,0.0,,569.7779748052585,weak_ink_support
34,True,0.5264012997562957,0.7018683996750609,0.009341998375304583,2.8284270763397217,0.6202583308128085,9.848857879638672,0.0020544955974018233,3320.0,524.9333840728298,weak_ink_support
35,True,0.710997442455243,0.840153452685422,0.019181585677749413,0.0,0.0,11.0,0.13145256094400598,2051.0,446.50699511929815,weak_ink_support
36,True,0.6256983240223464,0.8100558659217877,-0.013500931098696434,1.4142135381698608,0.31012916540640423,8.062257766723633,0.0661044625393587,3068.0,215.57749661748576,weak_ink_support
37,True,0.525089605734767,0.6845878136200717,-0.12768817204301075,2.2360680103302,0.49035728135730183,17.47283058166504,0.05141222295313988,2012.0,233.8007053539679,weak_ink_support
38,True,0.5452380952380952,0.6476190476190476,0.06607142857142856,2.2360680103302,0.49035728135730183,17.464248657226562,0.0,,131.8209237528195,weak_ink_support
39,True,0.29294117647058826,0.30823529411764705,0.1470588235294118,38.327537536621094,8.405015867474496,64.40884857177734,0.004381171191676028,3141.0,467.34588305221,weak_ink_support
40,True,0.7811023622047244,0.8393700787401575,0.14960629921259838,0.0,0.0,9.219544410705566,0.140172088082508,2193.0,281.3140607303107,aligned
41,True,0.4459770114942529,0.5908045977011495,-0.09425287356321838,4.123105525970459,0.9041741159588362,12.30421237945557,0.15971994979598222,2296.0,129.80345796770325,weak_ink_support
42,True,0.8651399491094147,0.9389312977099237,0.12595419847328237,0.0,0.0,4.426236915588381,0.0,,52.56424999190722,aligned
43,True,0.5152173913043478,0.6456521739130435,0.0690217391304348,3.0,0.657883318966972,8.246211051940918,0.0,,157.1116310056033,weak_ink_support
44,True,0.37237237237237236,0.4174174174174174,0.00525525525525522,12.0,2.631533275867888,24.041629791259766,0.009187748663202974,2108.0,77.52850580315082,weak_ink_support
45,True,0.6996699669966997,0.8795379537953796,0.10726072607260728,0.0,0.0,6.4031243324279785,0.26210896095865815,2037.0,259.0564454703111,aligned
46,True,0.7232704402515723,0.7421383647798742,0.08018867924528295,0.0,0.0,9.433980941772461,0.10954250641255019,1927.0,168.95855003029604,weak_ink_support
47,True,0.6637931034482759,0.7607758620689655,0.09644396551724144,2.0,0.4385888793113147,8.9442720413208,0.10319504143633786,1927.0,159.1682091491963,weak_ink_support
48,True,0.2951167728237792,0.6815286624203821,-0.17887473460721875,5.385164737701416,1.1809366836076371,7.280109882354736,0.1130545371407637,1920.0,166.4798738149159,weak_ink_support
49,True,1.0,1.0,0.5263157894736842,0.0,0.0,1.0,0.031370128089174346,1920.0,84.99706643648196,aligned
50,True,0.6327868852459017,0.7836065573770492,-0.0057377049180328266,0.0,0.0,8.03735466003418,0.0,,69.56109814030123,weak_ink_support
51,True,0.6179039301310044,0.7860262008733624,-0.006004366812227047,0.0,0.0,9.848857879638672,0.20667673696471683,2381.0,157.8123622184794,weak_ink_support
52,True,0.523990860624524,0.6587966488956588,-0.011424219345011366,2.8284270763397217,0.6202583308128085,14.532616806030267,0.0,,772.3311691061665,weak_ink_support
